id,created_at,text
842970771815247874,2017-03-18 05:27:48,"RT @Pundamentalism: If you want to know why dried fruit is a rubbish reward, I will give you 5 good raisins."
663210356337020928,2015-11-08 04:24:05,"The trends on the TV channels are more confusing than the girls I've dated. 
#BiharElections #Sexist #idgaf"
663208300943532032,2015-11-08 04:15:55,#Thugbandhan #BiharElections
663025022240464896,2015-11-07 16:07:38,The Christian American  is out! https://t.co/UPOfunkVy9 Stories via @AmSpec
662789318193373185,2015-11-07 00:31:02,Congressman Roskam: President’s Keystone Rejection ‘Dead Wrong' https://t.co/Rdyx04UwTq
662741538586292224,2015-11-06 21:21:10,Rep. Black Applauds Supreme Court Decision to Hear Challenge to Obamacare’s HHS Mandate https://t.co/UTN8ngwflv
662734566554140673,2015-11-06 20:53:28,Capitol Update: McConnell Statement on President’s Rejection of Keystone Pipeline https://t.co/ZxjXQWmSRI
662727232138293248,2015-11-06 20:24:19,McConnell Statement on President’s Rejection of Keystone Pipeline https://t.co/4JjaWqDY6A
662710602582781952,2015-11-06 19:18:14,Steve Scalise: Life Updates from the House Majority Whip https://t.co/yakXzPiWx8
662662632063770624,2015-11-06 16:07:37,The Christian American  is out! https://t.co/inYqFcsEzK Stories via @EWErickson
662450965103050752,2015-11-06 02:06:32,"Capitol Update: Congressmen Chabot, Goodlatte, Harris, Boustany Unveil Bill to Reform Seasonal Guestworker Program https://t.co/XaQKrz8Exh"
662423761568858112,2015-11-06 00:18:26,FOX Business Network/WSJ GOP Candidate Debate Lineup Announced https://t.co/XtUusO2mb8
662416255618428928,2015-11-05 23:48:37,"Congressmen Chabot, Goodlatte, Harris, Boustany Unveil Bill to Reform Seasonal Guestworker Program https://t.co/69MfVEPdt6"
662300240477855744,2015-11-05 16:07:36,The Christian American  is out! https://t.co/XAYmJB4aVq
662293751528734721,2015-11-05 15:41:49,Capitol Update: Chairman Roskam Opening Statement: Iran Terror Financing and the Tax Code https://t.co/urogIAOF6G
662290261838458880,2015-11-05 15:27:57,Chairman Roskam Opening Statement: Iran Terror Financing and the Tax Code https://t.co/p4ilZyc8Kz
662266966753710081,2015-11-05 13:55:23,Daily House of Representatives’ Schedule 11/5/15 https://t.co/XEdsYysmvT
662246720210759680,2015-11-05 12:34:56,Capitol Update: Sen. Cruz Seeks Passage of Kate's Law and Legislation to Honor Chinese Dissidents https://t.co/YGcwDSLClN
662130789010825216,2015-11-05 04:54:16,"House Judiciary Committee Chairman Bob Goodlatte: Reduce Prison Sentences, but Not for Violent Offenders https://t.co/Rk7e6G1ivN"
662015963731136512,2015-11-04 21:18:00,Capitol Update: Daily House of Representatives’ Schedule 11/4/15 https://t.co/GTHYSWza6P
661942746660278272,2015-11-04 16:27:03,Daily House of Representatives’ Schedule 11/4/15 https://t.co/fQfPNk6dek
661937866247925760,2015-11-04 16:07:40,The Christian American  is out! https://t.co/sUUKJQyllq
661772681474416640,2015-11-04 05:11:17,Senator Lankford Defends Washington Coach Right to Live His Faith https://t.co/2bzVU7mFAY
